"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Disponibilizar recursos cadastrar e excluir ","Inclusao de novos Clientes","Usuarios Cadastrados","0","0","1","0","0"
"Disponibilizar recursos cadastrar e excluir ","Exclusao de Clientes Cadastrados","Remover clientes da base","0","0","1","0","0"
